,Acceleration,Agility,Awareness,Ball Carrier Vision,Block Shedding,Carrying,Catch In Traffic,Catching,Elusiveness,Finesse Moves,Hit Power,Impact Blocking,Injury,Juke Move,Jumping,Man Coverage,Name,Overall Rating,Pass Block,Play Action,Play Recognition,Position,Power Moves,Press,Pursuit,Release,Route Running,Run Block,Spectacular Catch,Speed,Spin Move,Stamina,Stiff Arm,Strength,Tackle,Team,Throw Accuracy Deep,Throw Accuracy Mid,Throw Accuracy Short,Throw Power,Throw on the Run,Toughness,Trucking,Zone Coverage,Wt,Vertical,Bench,Broad Jump,3Cone,Shuttle,40yd
2,91,87,92,85,35,74,87,93,82,10,12,62,90,86,90,10,Pierre Garcon,85,40,6,20,WR,10,18,35,80,87,62,84,89,78,94,74,66,35,49ers,6,10,15,35,10,72,61,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
13,91,92,85,86,45,68,83,87,90,10,15,45,90,89,85,19,Jeremy Kerley,77,26,25,27,WR,10,15,24,62,84,62,86,86,83,88,32,43,25,49ers,44,47,49,62,67,75,36,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
27,96,91,76,74,37,73,75,79,72,10,15,40,86,75,87,18,Marquise Goodwin,73,32,6,24,WR,10,10,34,69,73,61,83,95,78,90,41,42,25,49ers,6,10,15,34,10,67,38,25,183.0,35.25526315789474,13.0,132.0,121.61290322580645,4.206999999999997,4.27
33,91,93,78,79,39,63,78,79,88,10,12,40,90,88,87,13,Aldrick Robinson,72,36,6,20,WR,10,18,35,57,76,59,83,92,85,88,30,35,31,49ers,6,10,15,35,10,65,30,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
39,91,86,77,82,40,72,74,78,87,10,15,55,77,85,93,18,Louis Murphy,71,29,6,26,WR,10,15,39,60,72,50,77,88,83,91,45,57,28,49ers,6,10,15,23,10,88,46,13,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
48,90,91,59,84,31,63,82,86,82,23,48,51,88,86,80,15,Trent Taylor,70,44,24,23,WR,15,24,39,60,81,49,78,86,79,91,61,61,35,49ers,18,23,28,31,28,84,59,23,181.0,33.0,13.0,117.0,6.74,4.01,4.63
57,89,86,65,76,27,69,71,76,62,11,15,45,90,71,86,16,Aaron Burbridge,67,42,6,21,WR,11,16,34,61,75,52,82,89,70,88,54,69,29,49ers,6,10,15,27,10,81,69,24,206.0,30.5,20.0,115.0,7.22,4.31,4.56
62,89,88,51,75,50,72,82,79,77,10,22,61,73,75,85,12,DeAndre Smelter,65,50,6,18,WR,10,10,45,79,55,61,76,87,74,85,74,70,40,49ers,6,10,15,29,10,82,67,25,226.0,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.52
70,90,90,51,80,24,64,74,78,81,10,19,41,91,86,78,18,Victor Bolden Jr,61,32,26,17,WR,10,15,26,53,68,43,80,88,77,91,42,44,26,49ers,25,32,38,37,37,73,32,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
82,93,91,86,84,40,67,84,89,79,10,15,49,87,81,90,19,Cameron Meredith,83,45,6,30,WR,10,15,30,80,87,58,86,89,76,88,65,67,35,Bears,6,10,15,29,10,85,58,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
94,88,89,81,88,45,69,81,86,84,10,20,41,85,84,90,11,Victor Cruz,77,31,6,25,WR,10,35,35,75,79,60,86,88,80,92,44,60,16,Bears,6,10,15,25,10,57,55,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
97,91,93,78,86,40,74,81,85,84,10,12,45,96,86,90,10,Kendall Wright,77,40,6,25,WR,10,10,27,70,80,46,85,90,84,95,40,54,30,Bears,6,10,15,33,10,77,61,15,196.0,38.5,14.181818181818182,121.0,6.93,4.18,4.49
103,93,92,77,84,35,72,78,83,84,10,12,45,93,86,90,10,Markus Wheaton,75,33,15,25,WR,10,10,34,72,76,51,82,90,83,92,37,51,29,Bears,20,30,35,35,15,76,42,20,189.0,37.0,20.0,120.0,6.8,4.02,4.45
119,91,88,54,86,35,69,84,82,67,25,33,45,80,78,87,25,Kevin White,72,44,15,32,WR,30,44,33,82,70,47,84,93,80,89,64,75,42,Bears,10,10,15,35,15,82,69,30,183.0,35.5,18.0,121.0,121.61290322580645,4.206999999999997,4.63
120,91,88,54,86,35,69,84,82,67,25,33,45,80,78,87,25,Kevin White,72,44,15,32,WR,30,44,33,82,70,47,84,93,80,89,64,75,42,Bears,10,10,15,35,15,82,69,30,215.0,36.5,23.0,123.0,6.92,4.14,4.35
124,92,86,70,83,52,73,78,81,68,10,35,52,94,70,84,17,Rueben Randle,71,47,44,18,WR,10,15,47,75,72,51,81,86,78,93,65,66,35,Bears,52,54,58,72,53,85,69,25,210.0,31.0,15.0,121.0,6.99,4.36,4.55
128,89,86,74,77,39,75,74,77,69,25,28,47,92,76,88,61,Josh Bellamy,70,45,10,35,WR,10,48,49,68,72,56,82,89,74,86,58,63,39,Bears,10,10,10,40,10,76,49,63,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
134,93,89,69,61,47,68,71,78,74,29,15,45,86,85,88,65,Deonte Thompson,69,35,6,36,WR,21,15,44,69,66,42,77,92,77,85,53,67,38,Bears,6,10,15,20,10,61,47,61,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
141,89,92,53,81,19,62,69,81,76,11,15,46,88,82,81,16,Daniel Braverman,65,38,6,21,WR,11,16,28,68,74,44,73,88,73,87,33,65,25,Bears,6,10,15,27,10,79,26,24,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
150,90,94,95,91,40,78,95,96,89,10,15,45,91,88,97,23,A.J. Green,94,28,6,25,WR,10,15,40,93,93,64,98,91,85,96,72,72,35,Bengals,15,15,20,40,15,95,67,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
158,89,86,88,82,45,73,88,88,67,10,12,63,94,77,87,11,Brandon LaFell,82,49,10,24,WR,10,10,73,84,84,64,85,86,75,88,75,71,36,Bengals,20,25,30,25,20,81,71,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
168,96,93,71,87,27,68,76,83,85,10,18,46,87,93,88,20,John Ross,77,47,6,25,WR,10,18,38,72,85,57,77,98,86,92,34,51,26,Bengals,6,10,15,35,10,77,27,28,188.0,37.0,14.181818181818182,133.0,121.61290322580645,4.206999999999997,4.22
173,92,86,76,78,39,68,81,86,66,11,15,49,87,76,88,16,Tyler Boyd,74,48,15,21,WR,11,16,37,72,78,59,83,88,73,89,35,63,24,Bengals,17,24,27,32,25,76,31,24,197.0,34.0,11.0,119.0,6.9,4.35,4.58
